"SNAME_clean","original_names","common_names","total_records","recent_records"
"Abies amabilis","Abies amabilis","Pacific silver fir",7,0
"Abies bracteata","Abies bracteata","bristlecone fir",80,0
"Abies lasiocarpa lasiocarpa","Abies lasiocarpa var. lasiocarpa","subalpine fir",17,0
"Ablautus schlingeri","Ablautus schlingeri","Oso Flaco robber fly",3,0
"Abronia alpina","Abronia alpina","Ramshaw Meadows abronia",1,0
"Abronia umbellata breviflora","Abronia umbellata var. breviflora","pink sand-verbena",61,0
"Abronia villosa aurita","Abronia villosa var. aurita","chaparral sand-verbena",98,0
"Abutilon abutiloides","Abutilon abutiloides","shrubby Indian mallow",1,0
"Abutilon parvulum","Abutilon parvulum","dwarf abutilon",5,0
"Acanthomintha duttonii","Acanthomintha duttonii","San Mateo thorn-mint",5,0
"Acanthomintha ilicifolia","Acanthomintha ilicifolia","San Diego thorn-mint",84,0
"Acanthoscyphus parishii abramsii","Acanthoscyphus parishii var. abramsii","Abrams' oxytheca",7,0
"Acanthoscyphus parishii cienegensis","Acanthoscyphus parishii var. cienegensis","Cienega Seca oxytheca",23,0
"Acanthoscyphus parishii goodmaniana","Acanthoscyphus parishii var. goodmaniana","Cushenbury oxytheca",21,0
"Accipiter atricapillus","Accipiter atricapillus","American goshawk",433,0
"Accipiter cooperii","Accipiter cooperii","Cooper's hawk",121,1
"Accipiter striatus","Accipiter striatus","sharp-shinned hawk",22,0
"Acipenser medirostris","Acipenser medirostris pop. 1; Acipenser medirostris pop. 2","green sturgeon - southern DPS; green sturgeon - northern DPS",15,0
"Acleisanthes longiflora","Acleisanthes longiflora","angel trumpets",1,0
"Acleisanthes nevadensis","Acleisanthes nevadensis","desert wing-fruit",13,0
"Acmispon argophyllus adsurgens","Acmispon argophyllus var. adsurgens","San Clemente Island bird's-foot trefoil",20,0
"Acmispon argophyllus niveus","Acmispon argophyllus var. niveus","Santa Cruz Island bird's-foot trefoil",24,0
"Acmispon argyraeus multicaulis","Acmispon argyraeus var. multicaulis","scrub lotus",24,0
"Acmispon argyraeus notitius","Acmispon argyraeus var. notitius","Providence Mountains lotus",3,0
"Acmispon dendroideus traskiae","Acmispon dendroideus var. traskiae","San Clemente Island lotus",40,0
"Acmispon haydonii","Acmispon haydonii","pygmy lotus",32,0
"Acmispon prostratus","Acmispon prostratus","Nuttall's acmispon",38,0
"Acmispon rubriflorus","Acmispon rubriflorus","red-flowered bird's-foot trefoil",8,0
"Actinemys marmorata","Actinemys marmorata","northwestern pond turtle",1160,60
"Actinemys pallida","Actinemys pallida","southwestern pond turtle",481,3
"Active Desert Dunes","Active Desert Dunes","Active Desert Dunes",4,0
"Adela oplerella","Adela oplerella","Opler's longhorn moth",14,0
"Adolphia californica","Adolphia californica","California adolphia",136,0
"Aegialia concinna","Aegialia concinna","Ciervo aegilian scarab beetle",3,0
"Agabus rumppi","Agabus rumppi","Death Valley agabus diving beetle",3,0
"Agave shawii shawii","Agave shawii var. shawii","Shaw's agave",8,0
"Agave simplex","Agave simplex","lonesome agave",41,6
"Agave utahensis eborispina","Agave utahensis var. eborispina","ivory-spined agave",5,0
"Agelaius tricolor","Agelaius tricolor","tricolored blackbird",960,0
"Ageratina herbacea","Ageratina herbacea","desert ageratina",11,0
"Ageratina shastensis","Ageratina shastensis","Shasta ageratina",27,0
"Aglaothorax longipennis","Aglaothorax longipennis","Santa Monica shieldback katydid",1,0
"Agrilus harenus","Agrilus harenus","Harenus jewel beetle",1,0
"Agrostis blasdalei","Agrostis blasdalei","Blasdale's bent grass",62,0
"Agrostis hendersonii","Agrostis hendersonii","Henderson's bent grass",26,0
"Agrostis hooveri","Agrostis hooveri","Hoover's bent grass",31,0
"Agrostis humilis","Agrostis humilis","mountain bent grass",20,0
"Agrostis lacuna-vernalis","Agrostis lacuna-vernalis","vernal pool bent grass",3,0
