usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,is_alternative,verbatim_name,verbatim_index
2685524,Abies amabilis Douglas ex J.Forbes,Abies amabilis,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies amabilis,6,7707728,194,640,3925,2684876,2685524,FALSE,Pinopsida,NA,FALSE,Abies amabilis,1
2685479,Abies bracteata (D.Don) A.Poit.,Abies bracteata,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies bracteata,6,7707728,194,640,3925,2684876,2685479,FALSE,Pinopsida,NA,FALSE,Abies bracteata,2
2685363,Abies lasiocarpa var. lasiocarpa,Abies lasiocarpa lasiocarpa,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Pinales,Pinaceae,Abies,Abies lasiocarpa,6,7707728,194,640,3925,2684876,2685313,FALSE,Pinopsida,NA,FALSE,Abies lasiocarpa lasiocarpa,3
1664806,"Ablautus schlingeri Wilcox, 1966",Ablautus schlingeri,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Diptera,Asilidae,Ablautus,Ablautus schlingeri,1,54,216,811,7275,1664791,1664806,FALSE,Insecta,NA,FALSE,Ablautus schlingeri,4
5384871,Abronia alpina Brandegee,Abronia alpina,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Nyctaginaceae,Abronia,Abronia alpina,6,7707728,220,422,6718,3086103,5384871,FALSE,Magnoliopsida,NA,FALSE,Abronia alpina,5
5553514,Abronia umbellata var. breviflora (Standl.) L.A.Galloway,Abronia umbellata breviflora,VARIETY,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Caryophyllales,Nyctaginaceae,Abronia,Abronia umbellata,6,7707728,220,422,6718,3086103,5384870,FALSE,Magnoliopsida,NA,FALSE,Abronia umbellata breviflora,6
5553491,Abronia villosa var. aurita (Abrams) Jeps.,Abronia villosa aurita,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Nyctaginaceae,Abronia,Abronia villosa,6,7707728,220,422,6718,3086103,5384880,FALSE,Magnoliopsida,NA,FALSE,Abronia villosa aurita,7
7954241,Abutilon abutiloides (Jacq.) Garcke,Abutilon abutiloides,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Malvales,Malvaceae,Abutilon,Abutilon abutiloides,6,7707728,220,941,6685,3152599,7954241,FALSE,Magnoliopsida,NA,FALSE,Abutilon abutiloides,8
3152612,Abutilon parvulum A.Gray,Abutilon parvulum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Malvales,Malvaceae,Abutilon,Abutilon parvulum,6,7707728,220,941,6685,3152599,3152612,FALSE,Magnoliopsida,NA,FALSE,Abutilon parvulum,9
2927085,Acanthomintha duttonii (Abrams) Jokerst,Acanthomintha duttonii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Acanthomintha,Acanthomintha duttonii,6,7707728,220,408,2497,2927081,2927085,FALSE,Magnoliopsida,NA,FALSE,Acanthomintha duttonii,10
